ID,¿Cúal es tu horario de trabajo normalmnete ?,¿Eres madrugador o nocturno?,¿Prefieres un sitio ruidoso o silencioso?,¿Cúal es tu nivel educativo?,¿Te gusta leer?,¿Te gusta ir al cine?,¿Practicas algun deporte o actividad recreativa?,¿Prefieres vivir con mascotas o sin mascotas?,¿Te gusta cocinar ?,¿Sigues alguna dieta?,¿Te gusta fumar?,¿Te visitan frecuentemente?,¿eres una persona ordenada o relajada ?,¿Qué generos de musica te gustan?,¿Acostumbras escuchar musica en volumen alto?,¿Tu plan perfecto seria tarde de pelis o salir a algun lugar a divertirte?,¿Tocas algun instrumento musical?
7396,tarde,madrugador,ruidoso,universidad,si,si,si,sin mascotas,no,si,si,no,relajado,rock,no,pelis,si
7397,noche,nocturno,ruidoso,preparatoria,no,si,no,con mascotas,si,si,si,si,relajado,electronica,si,pelis,no
7398,noche,nocturno,ruidoso,preparatoria,no,no,si,sin mascotas,si,si,no,si,relajado,salsa,si,salir,no
7399,tarde,madrugador,ruidoso,preparatoria,no,no,no,con mascotas,si,no,si,no,relajado,cumbia,si,pelis,si
7400,noche,madrugador,silencioso,preparatoria,si,si,si,con mascotas,no,no,no,si,ordenada,electronica,no,pelis,si
7401,mañana,nocturno,silencioso,preparatoria,no,no,si,con mascotas,si,no,no,no,ordenada,rock,no,pelis,no
7402,mañana,nocturno,silencioso,preparatoria,no,si,si,con mascotas,si,no,no,no,relajado,pop,si,salir,si
7403,mañana,nocturno,silencioso,preparatoria,si,no,no,con mascotas,no,no,no,si,relajado,rock,si,salir,si
7404,noche,nocturno,ruidoso,secundaria,si,si,si,con mascotas,no,si,si,no,ordenada,rock,si,salir,no
7405,tarde,madrugador,silencioso,preparatoria,no,si,si,sin mascotas,si,si,no,si,ordenada,rock,si,pelis,no
7406,tarde,madrugador,silencioso,universidad,si,si,si,sin mascotas,si,no,si,si,relajado,salsa,si,salir,no
7407,noche,madrugador,ruidoso,universidad,si,no,no,sin mascotas,si,si,no,no,relajado,rock,si,pelis,no
7408,mañana,nocturno,ruidoso,preparatoria,no,si,no,con mascotas,si,si,si,si,ordenada,rock,no,pelis,no
7409,noche,nocturno,silencioso,preparatoria,si,si,no,con mascotas,no,si,si,si,relajado,cumbia,si,pelis,no
7410,noche,nocturno,ruidoso,universidad,no,si,si,con mascotas,no,si,si,si,relajado,salsa,no,salir,no
7411,mañana,nocturno,silencioso,secundaria,no,si,no,sin mascotas,si,si,no,no,ordenada,cumbia,no,salir,si
7412,tarde,nocturno,ruidoso,preparatoria,si,si,no,con mascotas,no,no,si,si,relajado,pop,si,pelis,no
7413,noche,nocturno,silencioso,secundaria,si,si,no,sin mascotas,si,no,no,no,relajado,pop,si,pelis,no
7414,noche,nocturno,silencioso,universidad,no,si,si,con mascotas,si,si,no,si,ordenada,pop,no,salir,si
7415,noche,madrugador,ruidoso,secundaria,si,no,no,con mascotas,si,si,si,no,ordenada,cumbia,no,salir,no
7416,noche,madrugador,ruidoso,secundaria,si,no,no,sin mascotas,no,no,no,no,ordenada,rock,si,salir,no
7417,tarde,nocturno,ruidoso,preparatoria,si,si,no,con mascotas,si,si,si,no,relajado,pop,si,salir,no
7418,noche,madrugador,silencioso,universidad,no,no,no,con mascotas,si,si,si,si,relajado,pop,no,salir,si
7419,noche,nocturno,ruidoso,universidad,si,no,no,con mascotas,si,no,si,si,relajado,electronica,si,pelis,no
7420,mañana,madrugador,ruidoso,secundaria,si,si,si,con mascotas,si,no,si,si,ordenada,electronica,si,pelis,si
7421,mañana,nocturno,ruidoso,preparatoria,no,si,no,sin mascotas,si,si,no,no,relajado,electronica,si,salir,no
7422,mañana,madrugador,silencioso,preparatoria,no,si,si,con mascotas,no,no,no,no,ordenada,rock,no,salir,si
7423,noche,nocturno,silencioso,secundaria,no,si,no,sin mascotas,si,no,si,si,relajado,pop,no,salir,no
7424,mañana,madrugador,silencioso,secundaria,si,no,si,con mascotas,si,no,no,si,relajado,salsa,si,salir,si
7425,mañana,madrugador,ruidoso,preparatoria,no,no,si,sin mascotas,no,no,no,no,ordenada,cumbia,no,pelis,si
7426,noche,nocturno,ruidoso,preparatoria,si,no,si,con mascotas,no,no,si,no,ordenada,salsa,si,pelis,no
7427,noche,nocturno,ruidoso,universidad,si,no,si,sin mascotas,no,si,no,si,ordenada,pop,no,pelis,si
7428,tarde,nocturno,silencioso,secundaria,si,si,no,sin mascotas,si,no,si,no,relajado,rock,no,salir,si
7429,noche,madrugador,silencioso,secundaria,si,si,no,con mascotas,no,no,si,si,ordenada,salsa,no,salir,no
7430,tarde,madrugador,silencioso,preparatoria,si,no,si,sin mascotas,si,si,no,no,ordenada,pop,no,pelis,no
7431,tarde,nocturno,ruidoso,preparatoria,no,no,si,sin mascotas,no,si,no,si,relajado,salsa,si,salir,si
7432,noche,madrugador,silencioso,preparatoria,no,no,si,sin mascotas,si,no,no,si,relajado,salsa,si,pelis,no
7433,noche,nocturno,silencioso,universidad,si,si,no,con mascotas,no,no,si,si,ordenada,salsa,no,salir,no
7434,mañana,nocturno,silencioso,universidad,no,si,no,sin mascotas,si,si,si,no,ordenada,cumbia,si,pelis,no
7435,mañana,madrugador,ruidoso,preparatoria,si,no,si,con mascotas,no,si,si,si,ordenada,electronica,si,pelis,no
7436,tarde,madrugador,ruidoso,secundaria,no,no,si,con mascotas,si,no,si,si,relajado,cumbia,si,pelis,si
7437,mañana,nocturno,silencioso,secundaria,no,no,si,con mascotas,no,no,si,no,relajado,cumbia,si,salir,no
7438,tarde,nocturno,ruidoso,preparatoria,si,no,no,con mascotas,no,si,no,si,relajado,salsa,no,pelis,no
7439,noche,nocturno,silencioso,secundaria,si,si,no,con mascotas,no,no,si,no,relajado,rock,si,pelis,no
7440,tarde,madrugador,ruidoso,universidad,no,no,si,con mascotas,si,no,no,si,relajado,salsa,no,pelis,no
7441,tarde,nocturno,silencioso,universidad,no,no,si,sin mascotas,si,si,si,no,relajado,electronica,si,salir,si
7442,noche,nocturno,ruidoso,universidad,no,si,si,con mascotas,si,si,no,no,relajado,electronica,si,pelis,no
7443,noche,nocturno,ruidoso,preparatoria,si,si,si,sin mascotas,no,no,si,no,relajado,cumbia,no,salir,no
7444,mañana,madrugador,silencioso,secundaria,si,no,no,con mascotas,si,si,no,no,ordenada,rock,no,salir,si
7445,mañana,madrugador,silencioso,universidad,si,si,no,con mascotas,no,no,no,si,relajado,rock,no,pelis,no
7446,noche,madrugador,silencioso,preparatoria,si,no,no,sin mascotas,si,si,si,no,ordenada,electronica,si,pelis,no
7447,tarde,madrugador,silencioso,secundaria,si,si,si,con mascotas,no,si,si,si,ordenada,cumbia,no,pelis,si
7448,noche,nocturno,ruidoso,universidad,si,si,si,con mascotas,si,si,no,no,ordenada,salsa,no,salir,si
7449,mañana,madrugador,silencioso,universidad,si,no,si,sin mascotas,si,no,si,no,relajado,pop,si,pelis,no
7450,tarde,madrugador,ruidoso,preparatoria,no,no,no,con mascotas,si,si,no,si,relajado,cumbia,si,salir,no
7451,tarde,nocturno,ruidoso,preparatoria,si,no,si,con mascotas,si,no,si,no,ordenada,cumbia,si,salir,si
7452,noche,nocturno,ruidoso,secundaria,si,no,no,sin mascotas,no,si,no,si,relajado,pop,si,salir,si
7453,tarde,madrugador,ruidoso,preparatoria,no,si,si,con mascotas,si,si,no,si,relajado,cumbia,si,pelis,si
7454,noche,nocturno,ruidoso,secundaria,si,no,no,con mascotas,no,si,no,no,ordenada,electronica,no,salir,no
7455,mañana,nocturno,silencioso,secundaria,no,si,si,con mascotas,no,no,no,si,ordenada,electronica,si,salir,no
7456,noche,madrugador,silencioso,preparatoria,no,no,no,con mascotas,no,si,no,si,relajado,cumbia,si,salir,si
7457,noche,nocturno,silencioso,preparatoria,si,no,no,sin mascotas,si,si,si,si,relajado,rock,no,pelis,si
7458,noche,madrugador,silencioso,secundaria,si,si,si,sin mascotas,si,si,no,si,ordenada,electronica,si,pelis,si
7459,noche,madrugador,silencioso,universidad,no,si,si,sin mascotas,no,si,no,si,ordenada,rock,si,pelis,si
7460,tarde,madrugador,silencioso,secundaria,no,si,si,sin mascotas,si,no,si,si,relajado,electronica,no,pelis,si
7461,noche,nocturno,ruidoso,secundaria,si,no,si,sin mascotas,si,no,no,no,ordenada,pop,si,salir,no
7462,mañana,madrugador,silencioso,universidad,no,no,si,con mascotas,no,si,no,si,relajado,electronica,no,salir,no
7463,noche,madrugador,silencioso,preparatoria,si,no,no,sin mascotas,no,si,no,si,ordenada,salsa,no,salir,no
7464,tarde,madrugador,ruidoso,universidad,no,no,si,con mascotas,si,no,no,no,relajado,electronica,si,pelis,no
7465,noche,madrugador,silencioso,universidad,no,no,no,con mascotas,no,no,no,no,ordenada,electronica,no,salir,no
7466,mañana,nocturno,ruidoso,preparatoria,si,si,si,sin mascotas,no,si,no,no,relajado,rock,no,pelis,no
7467,noche,nocturno,silencioso,preparatoria,si,no,no,con mascotas,si,no,no,no,relajado,salsa,no,salir,si
7468,tarde,madrugador,ruidoso,secundaria,si,no,no,sin mascotas,si,si,no,no,ordenada,pop,si,pelis,si
7469,mañana,madrugador,silencioso,preparatoria,no,si,si,sin mascotas,no,no,si,si,relajado,salsa,si,pelis,no
7470,tarde,nocturno,silencioso,secundaria,si,si,no,con mascotas,no,si,no,si,ordenada,rock,no,pelis,si
7471,noche,madrugador,silencioso,universidad,no,no,no,con mascotas,no,si,no,no,ordenada,pop,si,salir,si
7472,noche,madrugador,silencioso,secundaria,si,no,si,sin mascotas,si,no,no,no,ordenada,electronica,no,salir,si
7473,tarde,madrugador,silencioso,universidad,no,no,no,sin mascotas,no,si,no,no,relajado,rock,si,pelis,si
7474,noche,madrugador,silencioso,preparatoria,si,no,si,sin mascotas,no,si,no,no,ordenada,rock,no,salir,no
7475,mañana,nocturno,silencioso,preparatoria,no,no,no,sin mascotas,si,no,no,si,relajado,pop,no,salir,si
7476,noche,madrugador,silencioso,universidad,no,si,si,sin mascotas,no,no,no,si,relajado,pop,si,pelis,si
7477,tarde,nocturno,ruidoso,universidad,no,si,si,con mascotas,si,no,si,no,ordenada,salsa,si,salir,no
7478,noche,madrugador,ruidoso,secundaria,no,si,no,con mascotas,no,no,si,si,ordenada,rock,si,pelis,si
7479,mañana,nocturno,silencioso,preparatoria,si,si,si,con mascotas,si,no,si,no,relajado,salsa,si,pelis,si
7480,tarde,nocturno,silencioso,preparatoria,si,no,no,sin mascotas,no,no,no,no,ordenada,pop,si,salir,no
7481,tarde,madrugador,silencioso,secundaria,si,no,no,con mascotas,no,no,no,no,ordenada,electronica,si,salir,si
7482,noche,nocturno,silencioso,universidad,si,no,si,sin mascotas,si,no,si,si,ordenada,electronica,no,salir,no
7483,tarde,madrugador,ruidoso,universidad,no,no,si,con mascotas,si,si,si,no,relajado,rock,si,pelis,si
7484,mañana,nocturno,silencioso,secundaria,si,si,si,sin mascotas,si,no,si,si,relajado,rock,si,salir,si
7485,mañana,nocturno,ruidoso,universidad,no,si,si,sin mascotas,no,si,no,si,ordenada,electronica,no,pelis,si
7486,mañana,nocturno,ruidoso,secundaria,no,no,no,sin mascotas,no,si,no,no,ordenada,pop,no,pelis,si
7487,mañana,nocturno,silencioso,universidad,si,si,no,sin mascotas,si,si,no,si,relajado,cumbia,si,pelis,si
7488,noche,nocturno,ruidoso,universidad,no,si,no,sin mascotas,no,no,no,no,relajado,salsa,no,salir,no
7489,noche,madrugador,ruidoso,secundaria,si,no,si,con mascotas,si,si,si,si,ordenada,electronica,si,salir,si
7490,mañana,madrugador,silencioso,universidad,no,no,no,con mascotas,si,si,no,no,relajado,rock,si,salir,si
7491,mañana,madrugador,ruidoso,universidad,si,si,no,sin mascotas,si,si,no,no,ordenada,pop,no,salir,si
7492,mañana,nocturno,ruidoso,universidad,si,no,no,con mascotas,no,no,no,si,relajado,electronica,si,pelis,si
7493,noche,madrugador,silencioso,universidad,si,no,no,con mascotas,si,no,no,no,ordenada,pop,no,pelis,si
7494,noche,nocturno,silencioso,preparatoria,si,no,no,sin mascotas,no,no,si,si,ordenada,salsa,no,salir,si
7495,tarde,nocturno,silencioso,preparatoria,no,no,si,con mascotas,no,no,no,si,ordenada,cumbia,si,salir,si
7496,tarde,nocturno,ruidoso,universidad,no,si,si,sin mascotas,no,no,si,no,relajado,cumbia,si,pelis,si
7497,tarde,madrugador,ruidoso,secundaria,no,si,si,con mascotas,no,si,si,no,ordenada,rock,no,pelis,no
7498,mañana,madrugador,ruidoso,secundaria,no,si,no,sin mascotas,no,si,no,no,ordenada,pop,no,salir,no
7499,noche,madrugador,ruidoso,secundaria,si,no,si,sin mascotas,no,si,no,si,relajado,pop,no,salir,no
7500,noche,madrugador,silencioso,secundaria,no,si,no,con mascotas,si,no,no,si,ordenada,pop,si,salir,si
7501,tarde,nocturno,ruidoso,secundaria,no,si,no,con mascotas,si,si,no,no,ordenada,rock,si,pelis,no
7502,noche,nocturno,silencioso,universidad,si,si,no,sin mascotas,no,no,si,si,relajado,salsa,si,salir,no
7503,noche,madrugador,ruidoso,secundaria,no,no,si,sin mascotas,si,no,no,no,ordenada,electronica,si,salir,si
7504,tarde,nocturno,ruidoso,secundaria,no,no,si,con mascotas,no,no,no,no,relajado,cumbia,si,pelis,no
7505,mañana,madrugador,ruidoso,secundaria,si,no,si,sin mascotas,si,no,si,si,relajado,salsa,si,pelis,no
7506,mañana,madrugador,silencioso,preparatoria,no,si,si,sin mascotas,si,no,no,si,relajado,cumbia,si,salir,no
7507,noche,madrugador,ruidoso,universidad,no,no,no,con mascotas,si,si,si,no,ordenada,electronica,no,salir,si
7508,mañana,madrugador,silencioso,preparatoria,no,no,si,sin mascotas,no,no,no,no,ordenada,pop,si,salir,no
7509,tarde,nocturno,ruidoso,preparatoria,si,si,si,con mascotas,no,no,no,no,ordenada,pop,si,pelis,si
7510,tarde,nocturno,ruidoso,secundaria,si,no,no,sin mascotas,no,no,si,no,relajado,cumbia,si,pelis,si
7511,mañana,madrugador,ruidoso,secundaria,si,no,no,sin mascotas,si,no,si,si,relajado,rock,si,pelis,no
7512,mañana,madrugador,ruidoso,secundaria,no,no,si,sin mascotas,si,si,no,no,relajado,salsa,si,pelis,si
7513,mañana,madrugador,silencioso,preparatoria,no,si,si,con mascotas,si,no,si,si,ordenada,pop,si,pelis,no
7514,mañana,madrugador,ruidoso,preparatoria,si,si,no,con mascotas,si,si,si,si,ordenada,electronica,si,salir,si
7515,tarde,nocturno,silencioso,preparatoria,si,si,si,con mascotas,si,no,no,si,ordenada,rock,no,pelis,no
7516,tarde,nocturno,silencioso,preparatoria,si,si,no,sin mascotas,no,no,si,no,ordenada,rock,si,salir,no
7517,tarde,nocturno,silencioso,preparatoria,no,si,si,con mascotas,si,no,no,si,relajado,pop,no,salir,no
7518,noche,nocturno,ruidoso,preparatoria,si,no,no,con mascotas,si,si,no,si,relajado,cumbia,si,pelis,si
7519,noche,madrugador,ruidoso,secundaria,no,no,no,sin mascotas,si,si,no,no,ordenada,rock,no,pelis,si
7520,mañana,madrugador,silencioso,secundaria,no,si,si,sin mascotas,no,no,no,no,relajado,electronica,si,pelis,no
7521,tarde,madrugador,ruidoso,universidad,no,no,no,con mascotas,si,no,no,no,ordenada,electronica,si,salir,si
7522,mañana,nocturno,silencioso,secundaria,si,si,si,con mascotas,si,si,si,no,relajado,electronica,no,pelis,no
7523,noche,madrugador,silencioso,preparatoria,si,no,no,sin mascotas,no,si,si,si,relajado,electronica,si,salir,no
7524,tarde,nocturno,silencioso,secundaria,si,no,no,sin mascotas,no,si,no,si,ordenada,cumbia,si,pelis,no
7525,tarde,madrugador,ruidoso,secundaria,si,si,no,con mascotas,si,no,no,si,relajado,pop,no,salir,no
7526,noche,nocturno,ruidoso,preparatoria,no,no,si,sin mascotas,si,si,si,si,ordenada,cumbia,no,salir,si
7527,noche,nocturno,ruidoso,secundaria,no,si,si,con mascotas,si,si,no,no,ordenada,electronica,si,pelis,no
7528,tarde,nocturno,silencioso,secundaria,si,si,no,sin mascotas,no,no,si,si,ordenada,rock,si,salir,no
7529,noche,madrugador,silencioso,universidad,si,si,si,con mascotas,si,si,si,no,ordenada,cumbia,no,salir,no
7530,mañana,nocturno,silencioso,secundaria,si,si,no,sin mascotas,si,si,no,no,ordenada,cumbia,si,pelis,no
7531,noche,madrugador,silencioso,universidad,no,no,si,con mascotas,si,no,si,no,ordenada,pop,no,salir,si
7532,noche,nocturno,ruidoso,preparatoria,si,no,no,con mascotas,si,no,si,si,ordenada,pop,si,salir,no
7533,noche,madrugador,silencioso,universidad,no,no,no,sin mascotas,si,no,no,no,ordenada,salsa,si,salir,si
7534,noche,nocturno,ruidoso,secundaria,no,no,no,con mascotas,si,no,si,no,ordenada,pop,no,salir,no
7535,noche,madrugador,ruidoso,universidad,si,si,no,con mascotas,si,no,no,no,relajado,electronica,si,salir,si
7536,mañana,nocturno,silencioso,universidad,si,si,no,con mascotas,no,si,si,si,ordenada,salsa,si,pelis,no
7537,tarde,nocturno,silencioso,preparatoria,no,si,si,con mascotas,si,si,no,no,relajado,electronica,si,pelis,no
7538,mañana,madrugador,ruidoso,preparatoria,si,no,no,sin mascotas,no,no,si,no,relajado,pop,no,salir,si
7539,mañana,nocturno,silencioso,preparatoria,si,no,si,sin mascotas,no,si,no,no,ordenada,pop,si,pelis,no
7540,tarde,nocturno,ruidoso,secundaria,si,si,si,sin mascotas,si,si,no,no,ordenada,salsa,no,salir,no
7541,noche,madrugador,silencioso,universidad,si,no,si,con mascotas,si,no,no,si,relajado,electronica,no,pelis,no
7542,mañana,nocturno,silencioso,preparatoria,si,no,no,sin mascotas,si,no,si,no,ordenada,rock,si,pelis,no
7543,mañana,madrugador,silencioso,secundaria,si,no,no,sin mascotas,si,si,no,no,ordenada,salsa,no,pelis,si
7544,mañana,madrugador,silencioso,preparatoria,no,si,si,sin mascotas,no,si,no,si,ordenada,salsa,no,pelis,no
7545,tarde,nocturno,ruidoso,preparatoria,si,si,no,sin mascotas,si,si,si,no,relajado,pop,no,salir,si
7546,noche,nocturno,ruidoso,preparatoria,si,si,no,con mascotas,si,si,no,no,ordenada,pop,no,pelis,si
7547,mañana,nocturno,ruidoso,secundaria,no,no,no,sin mascotas,no,si,si,no,ordenada,electronica,no,pelis,no
7548,tarde,nocturno,ruidoso,secundaria,si,si,si,sin mascotas,no,no,si,no,relajado,electronica,no,salir,si
7549,tarde,nocturno,silencioso,preparatoria,si,si,no,sin mascotas,no,si,no,no,relajado,salsa,no,pelis,si
7550,mañana,madrugador,silencioso,preparatoria,no,si,no,con mascotas,si,no,no,no,ordenada,rock,si,pelis,no
7551,tarde,nocturno,silencioso,preparatoria,si,no,si,con mascotas,no,no,no,si,relajado,electronica,no,pelis,no
7552,tarde,nocturno,silencioso,preparatoria,no,no,no,sin mascotas,no,no,si,no,relajado,cumbia,si,pelis,si
7553,tarde,madrugador,ruidoso,universidad,no,no,no,con mascotas,no,no,si,no,ordenada,electronica,si,salir,si
7554,mañana,madrugador,silencioso,secundaria,si,no,si,sin mascotas,no,si,si,si,relajado,electronica,no,pelis,no
7555,mañana,madrugador,silencioso,secundaria,no,no,no,con mascotas,si,no,si,si,ordenada,rock,si,salir,no
7556,noche,nocturno,ruidoso,secundaria,si,si,si,sin mascotas,si,si,no,si,ordenada,pop,si,salir,no
7557,noche,madrugador,ruidoso,universidad,si,no,no,sin mascotas,no,si,no,no,ordenada,rock,si,salir,si
7558,mañana,madrugador,silencioso,universidad,no,si,si,con mascotas,no,no,no,no,relajado,salsa,no,pelis,no
7559,tarde,nocturno,ruidoso,secundaria,no,si,no,con mascotas,si,si,si,no,relajado,electronica,si,salir,si
7560,noche,madrugador,silencioso,universidad,no,no,no,con mascotas,si,si,no,no,relajado,pop,no,pelis,si
7561,noche,madrugador,ruidoso,preparatoria,no,no,no,sin mascotas,si,no,no,si,relajado,rock,no,pelis,si
7562,tarde,madrugador,silencioso,secundaria,no,si,no,sin mascotas,si,no,no,no,relajado,electronica,si,pelis,si
7563,tarde,nocturno,ruidoso,secundaria,si,no,si,sin mascotas,no,no,si,no,relajado,electronica,no,pelis,no
7564,mañana,madrugador,silencioso,preparatoria,si,si,no,con mascotas,si,no,si,no,relajado,salsa,no,pelis,no
7565,noche,madrugador,ruidoso,universidad,no,no,no,con mascotas,si,no,no,no,ordenada,salsa,si,pelis,si
7566,noche,nocturno,silencioso,preparatoria,no,si,no,sin mascotas,no,si,no,si,relajado,salsa,no,salir,si
7567,mañana,madrugador,silencioso,preparatoria,no,no,no,sin mascotas,no,no,si,no,relajado,electronica,si,salir,si
7568,mañana,nocturno,silencioso,secundaria,si,si,no,sin mascotas,no,si,si,si,ordenada,rock,no,salir,si
7569,mañana,madrugador,ruidoso,universidad,si,no,no,con mascotas,si,si,si,no,ordenada,salsa,si,salir,si
7570,mañana,madrugador,ruidoso,universidad,no,si,no,sin mascotas,si,si,si,no,relajado,salsa,no,salir,si
7571,tarde,nocturno,ruidoso,secundaria,si,no,si,con mascotas,no,si,si,si,ordenada,pop,si,salir,no
7572,tarde,madrugador,ruidoso,secundaria,si,si,si,con mascotas,no,si,si,si,relajado,pop,no,pelis,si
7573,noche,madrugador,silencioso,preparatoria,no,si,no,sin mascotas,no,si,si,no,relajado,pop,si,salir,si
7574,mañana,nocturno,silencioso,universidad,no,no,si,con mascotas,no,no,no,no,relajado,pop,no,pelis,no
7575,noche,madrugador,ruidoso,secundaria,no,si,si,sin mascotas,si,no,si,no,ordenada,cumbia,no,salir,si
7576,noche,madrugador,silencioso,secundaria,si,si,si,con mascotas,si,si,si,no,relajado,pop,no,pelis,si
7577,mañana,madrugador,silencioso,preparatoria,si,si,no,sin mascotas,si,si,no,si,relajado,rock,si,pelis,no
7578,noche,nocturno,silencioso,universidad,no,si,no,con mascotas,si,no,si,no,ordenada,salsa,si,pelis,no
7579,noche,nocturno,silencioso,preparatoria,si,si,si,con mascotas,si,no,no,no,ordenada,salsa,si,salir,si
7580,noche,madrugador,silencioso,universidad,no,no,si,con mascotas,si,no,no,no,relajado,electronica,no,pelis,no
7581,tarde,madrugador,silencioso,universidad,si,si,no,sin mascotas,no,no,no,no,relajado,pop,no,pelis,si
7582,tarde,madrugador,ruidoso,preparatoria,si,no,no,sin mascotas,si,si,si,si,ordenada,pop,si,pelis,no
7583,mañana,nocturno,ruidoso,universidad,si,no,si,con mascotas,no,no,no,no,relajado,pop,si,pelis,no
7584,noche,madrugador,ruidoso,secundaria,si,si,si,sin mascotas,no,si,si,si,ordenada,salsa,no,salir,si
7585,tarde,nocturno,ruidoso,secundaria,si,no,no,sin mascotas,si,si,no,si,relajado,cumbia,no,salir,no
7586,noche,madrugador,ruidoso,secundaria,no,no,no,sin mascotas,no,si,si,si,ordenada,rock,si,pelis,no
7587,tarde,nocturno,ruidoso,universidad,no,si,no,con mascotas,si,si,no,si,ordenada,electronica,si,pelis,no
7588,noche,nocturno,silencioso,secundaria,si,si,no,con mascotas,si,si,si,no,ordenada,electronica,no,salir,si
7589,tarde,madrugador,ruidoso,secundaria,no,si,no,con mascotas,si,no,si,no,ordenada,salsa,no,salir,no
7590,mañana,madrugador,ruidoso,secundaria,si,no,no,sin mascotas,no,no,no,si,ordenada,pop,si,pelis,no
7591,noche,nocturno,silencioso,universidad,si,si,si,con mascotas,no,si,no,no,ordenada,cumbia,si,salir,no
7592,noche,nocturno,silencioso,universidad,si,no,no,con mascotas,si,si,no,si,ordenada,electronica,si,pelis,si
7593,noche,nocturno,silencioso,preparatoria,si,si,no,con mascotas,no,si,no,no,ordenada,cumbia,si,pelis,si
7594,mañana,nocturno,ruidoso,preparatoria,si,si,si,con mascotas,no,si,si,si,relajado,electronica,si,pelis,si
7595,mañana,nocturno,ruidoso,universidad,no,no,si,sin mascotas,si,si,no,no,ordenada,salsa,si,pelis,no
7596,noche,madrugador,silencioso,secundaria,no,si,no,sin mascotas,no,si,no,si,relajado,salsa,no,pelis,si
7597,tarde,madrugador,silencioso,preparatoria,si,no,no,sin mascotas,no,si,si,si,relajado,rock,si,salir,si
7598,noche,nocturno,ruidoso,preparatoria,si,si,si,sin mascotas,si,no,si,si,ordenada,electronica,no,salir,si
7599,tarde,nocturno,ruidoso,preparatoria,no,no,si,con mascotas,si,no,si,no,relajado,electronica,si,pelis,si
7600,mañana,nocturno,ruidoso,universidad,si,si,si,con mascotas,no,si,no,no,relajado,cumbia,no,pelis,si
7601,mañana,madrugador,silencioso,secundaria,no,si,no,sin mascotas,no,si,no,si,ordenada,electronica,si,pelis,si
7602,tarde,nocturno,silencioso,secundaria,no,si,no,sin mascotas,no,si,si,no,relajado,salsa,si,pelis,si
7603,mañana,nocturno,silencioso,secundaria,no,si,si,con mascotas,no,si,si,si,ordenada,electronica,si,salir,si
7604,mañana,madrugador,ruidoso,secundaria,si,si,si,sin mascotas,no,no,no,si,relajado,cumbia,si,pelis,si
7605,mañana,madrugador,silencioso,secundaria,no,si,si,con mascotas,si,no,si,no,relajado,rock,si,pelis,si
7606,noche,nocturno,silencioso,secundaria,no,no,no,con mascotas,no,si,no,no,relajado,electronica,si,salir,si
7607,noche,nocturno,silencioso,preparatoria,si,si,si,con mascotas,no,si,no,si,ordenada,salsa,si,pelis,no
7608,tarde,madrugador,ruidoso,secundaria,no,no,si,sin mascotas,si,no,no,no,ordenada,salsa,si,salir,si
7609,mañana,nocturno,ruidoso,preparatoria,si,si,si,sin mascotas,si,no,no,si,relajado,salsa,no,salir,no
7610,tarde,nocturno,ruidoso,secundaria,no,si,no,con mascotas,si,si,si,no,ordenada,electronica,no,salir,no
7611,noche,madrugador,ruidoso,secundaria,si,no,no,sin mascotas,no,no,si,si,relajado,rock,no,pelis,no
7612,mañana,nocturno,silencioso,secundaria,si,no,si,sin mascotas,no,no,no,si,relajado,salsa,no,pelis,no
7613,tarde,madrugador,silencioso,preparatoria,no,no,no,sin mascotas,si,si,no,no,relajado,cumbia,si,pelis,si
7614,noche,nocturno,ruidoso,universidad,si,si,si,sin mascotas,no,no,si,si,ordenada,pop,no,pelis,no
7615,mañana,nocturno,ruidoso,preparatoria,no,no,no,sin mascotas,no,no,no,si,ordenada,cumbia,si,pelis,si
7616,noche,madrugador,ruidoso,universidad,no,si,no,sin mascotas,no,si,si,si,relajado,pop,si,salir,si
7617,mañana,madrugador,ruidoso,secundaria,si,si,no,con mascotas,si,no,si,si,ordenada,salsa,si,salir,si
7618,mañana,nocturno,ruidoso,universidad,si,no,no,con mascotas,si,no,si,no,relajado,electronica,no,salir,si
7619,tarde,madrugador,ruidoso,universidad,si,si,si,sin mascotas,si,no,si,si,ordenada,cumbia,si,salir,si
7620,mañana,nocturno,ruidoso,preparatoria,no,no,no,sin mascotas,no,no,si,si,relajado,electronica,no,pelis,si
7621,tarde,nocturno,silencioso,secundaria,no,no,si,con mascotas,si,si,si,no,ordenada,pop,si,pelis,no
7622,noche,madrugador,ruidoso,preparatoria,si,no,no,sin mascotas,si,si,si,si,ordenada,rock,no,salir,si
7623,mañana,madrugador,silencioso,universidad,si,si,si,sin mascotas,si,si,no,si,relajado,pop,no,pelis,no
7624,tarde,nocturno,ruidoso,preparatoria,no,no,si,sin mascotas,no,no,si,no,relajado,cumbia,si,pelis,no
7625,noche,madrugador,silencioso,preparatoria,si,si,no,sin mascotas,no,no,no,no,ordenada,cumbia,si,pelis,no
7626,mañana,nocturno,silencioso,preparatoria,si,si,no,sin mascotas,si,no,si,no,ordenada,rock,si,salir,si
7627,noche,nocturno,ruidoso,universidad,no,no,no,con mascotas,si,no,si,no,relajado,salsa,no,salir,no
7628,mañana,madrugador,ruidoso,preparatoria,si,si,no,con mascotas,si,no,no,no,relajado,salsa,no,salir,no
7629,mañana,madrugador,silencioso,universidad,no,si,si,con mascotas,no,no,si,no,relajado,rock,no,salir,si
